epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.449,1.05901,2.80843,1.41098,0.00775,1,0.199,0.03774,2.84549,5.10672,2.71514,0.00020004,0.00020004,0.00020004
2,387.566,0.95598,1.82747,1.37671,0.00735,1,0.14214,0.08647,1.4737,5.55977,2.0002,0.000408498,0.000408498,0.000408498
3,553.843,0.98951,1.65903,1.3036,0.00769,1,0.199,0.06735,1.81719,4.49577,2.05289,0.000608375,0.000608375,0.000608375
4,726.84,0.99874,1.6477,1.32223,0.00578,1,0.08292,0.03538,2.43457,3.70906,2.12069,0.00079967,0.00079967,0.00079967
5,896.172,0.98643,1.55248,1.29116,0.00602,1,0.04523,0.02007,1.46072,6.12319,1.48894,0.000982383,0.000982383,0.000982383
6,1069.41,1.03348,1.52435,1.35036,0.00637,1,0.01185,0.00517,1.58627,6.50415,2.3719,0.00115651,0.00115651,0.00115651
7,1242.93,1.03825,1.54937,1.35913,0.00641,1,0.04738,0.03317,1.87119,4.8224,1.80065,0.00132206,0.00132206,0.00132206
8,1420.02,0.99972,1.40545,1.31264,0.00654,1,0.11056,0.05528,1.64903,3.26786,1.78005,0.00143595,0.00143595,0.00143595
9,1590.17,1.02736,1.45624,1.34023,0.00649,1,0.24875,0.10055,2.10951,2.81647,1.87323,0.00140295,0.00140295,0.00140295
10,1762.37,0.99827,1.40908,1.32281,0.0068,1,0.0995,0.05408,1.71516,3.56807,1.58705,0.00136994,0.00136994,0.00136994
11,1930.43,1.08624,1.45112,1.39966,0.00662,1,0.08292,0.05072,1.74039,4.35103,1.7162,0.00133693,0.00133693,0.00133693
12,2135.47,0.9978,1.34948,1.33931,0.05052,1,0.199,0.0398,3.26469,4.12977,3.37896,0.00130393,0.00130393,0.00130393
13,2317.38,1.02216,1.32308,1.31438,0.00645,1,0.05237,0.02109,2.13664,4.15072,1.65113,0.00127092,0.00127092,0.00127092
14,2492.36,0.9546,1.27922,1.28907,0.17441,1,0.24875,0.14925,1.5502,6.22338,1.63283,0.00123791,0.00123791,0.00123791
15,2670,0.91529,1.21229,1.28607,0.29462,1,0.4975,0.18242,1.63672,2.94016,1.56793,0.00120491,0.00120491,0.00120491
16,2843.36,0.8692,1.18343,1.25464,0.08778,1,0.33167,0.26533,0.90482,2.6708,0.92523,0.0011719,0.0011719,0.0011719
17,3019.7,0.94876,1.20273,1.24625,0.00578,1,0.12437,0.0399,2.62375,3.70797,2.18842,0.00113889,0.00113889,0.00113889
18,3194.19,0.9021,1.18764,1.28,0.00571,1,0.24875,0.07724,2.94376,3.0432,2.50756,0.00110589,0.00110589,0.00110589
19,3387.88,0.90591,1.152,1.27019,0.00575,1,0.199,0.04063,1.63406,3.71933,1.56593,0.00107288,0.00107288,0.00107288
20,3561.28,0.9554,1.17924,1.26346,0.00725,1,0.11056,0.0995,0.90516,3.55868,1.17595,0.00103987,0.00103987,0.00103987
21,3752.1,0.8901,1.12768,1.23616,0.00952,1,0.0995,0.06087,0.96267,3.39281,1.06582,0.00100687,0.00100687,0.00100687
22,3925.35,0.91621,1.14422,1.25756,0.00833,1,0.12437,0.11194,0.93422,3.16148,1.07747,0.000973861,0.000973861,0.000973861
23,4095.51,0.84869,1.08202,1.22335,0.00629,1,0.199,0.199,0.85538,3.49836,0.92783,0.000940855,0.000940855,0.000940855
24,4305.33,0.84934,1.0663,1.21906,0.32851,1,0.33167,0.23217,0.8367,3.27073,0.93015,0.000907848,0.000907848,0.000907848
25,4516.67,0.82526,1.06997,1.20932,0.30691,0.92072,0.33167,0.21558,1.06211,3.58993,1.01562,0.000874842,0.000874842,0.000874842
26,4727.98,0.77893,0.96967,1.16325,0.48487,0.96973,0.4975,0.24875,1.19816,3.16508,1.1382,0.000841835,0.000841835,0.000841835
27,4940.44,0.79417,0.97831,1.18267,0.47467,0.94933,0.4975,0.34825,1.19399,3.34217,1.03539,0.000808828,0.000808828,0.000808828
28,5153.23,0.74672,1.01173,1.13325,0.4833,1,0.4975,0.2189,1.31243,3.63616,1.04697,0.000775822,0.000775822,0.000775822
29,5364.68,0.76451,0.92409,1.17394,0.65878,1,0.995,0.40455,2.11691,2.91174,1.8717,0.000742815,0.000742815,0.000742815
30,5577.97,0.73966,0.89353,1.16119,0.48371,1,0.4975,0.20275,2.55261,2.59039,2.32245,0.000709809,0.000709809,0.000709809
31,5787.44,0.69936,0.85314,1.12386,0.46423,0.92846,0.4975,0.34825,1.43379,3.20492,1.41524,0.000676802,0.000676802,0.000676802
32,6001.23,0.75417,0.88088,1.1456,0.46864,0.93728,0.4975,0.2985,1.10262,3.34138,1.16097,0.000643795,0.000643795,0.000643795
33,6216.06,0.70841,0.8455,1.10425,0.31376,0.94129,0.33167,0.16346,1.23604,3.03724,1.06401,0.000610789,0.000610789,0.000610789
34,6422.62,0.68994,0.85156,1.13483,0.30775,1,0.33167,0.19237,0.95091,3.36575,0.94839,0.000577782,0.000577782,0.000577782
35,6633.26,0.68761,0.79212,1.12026,0.48698,1,0.4975,0.34825,0.76713,2.92468,0.83516,0.000544776,0.000544776,0.000544776
36,6844.9,0.67518,0.80044,1.11244,0.48693,0.97385,0.4975,0.34825,0.75476,3.55792,0.85341,0.000511769,0.000511769,0.000511769
37,7058.06,0.69769,0.81603,1.10402,0.4857,1,0.4975,0.398,0.79213,3.07591,0.84733,0.000478762,0.000478762,0.000478762
38,7269.97,0.68883,0.79415,1.12119,0.483,1,0.4975,0.398,0.70909,3.58451,0.78701,0.000445756,0.000445756,0.000445756
39,7479.57,0.65165,0.77936,1.11913,0.49833,0.99666,0.4975,0.4975,0.64387,3.75745,0.7817,0.000412749,0.000412749,0.000412749
40,7688.26,0.65207,0.83164,1.12064,0.49927,1,0.4975,0.398,0.73236,4.15477,0.81653,0.000379743,0.000379743,0.000379743
41,7899.9,0.60916,0.91046,1.06253,0.47914,1,0.4975,0.34825,1.11969,3.8604,1.12832,0.000346736,0.000346736,0.000346736
42,8107.61,0.58921,0.81396,1.04321,0.47792,1,0.4975,0.34825,0.97734,2.66663,1.08643,0.000313729,0.000313729,0.000313729
43,8317.21,0.56255,0.77946,1.01915,0.49365,1,0.4975,0.3184,0.80587,2.65295,0.95205,0.000280723,0.000280723,0.000280723
44,8526.6,0.53527,0.69957,0.99331,0.48196,1,0.4975,0.34825,0.76048,2.88179,0.91192,0.000247716,0.000247716,0.000247716
45,8735.15,0.52395,0.70399,1.00736,0.48398,1,0.4975,0.31508,0.90778,3.57517,0.97189,0.00021471,0.00021471,0.00021471
46,8943.52,0.52845,0.70469,0.99591,0.48592,1,0.4975,0.2985,1.01194,3.75785,1.03977,0.000181703,0.000181703,0.000181703
47,9152.73,0.49935,0.66689,0.98597,0.48705,1,0.4975,0.34825,1.11131,3.32766,1.11709,0.000148696,0.000148696,0.000148696
48,9361.56,0.5082,0.66477,0.97614,0.48833,1,0.4975,0.34825,0.99826,2.888,0.96295,0.00011569,0.00011569,0.00011569
49,9567.23,0.50834,0.67077,0.97019,0.48812,1,0.4975,0.398,0.86073,2.9382,0.84299,8.26832e-05,8.26832e-05,8.26832e-05
50,9776.14,0.50191,0.65245,0.99355,0.48836,1,0.4975,0.398,0.72192,3.11055,0.74751,4.96766e-05,4.96766e-05,4.96766e-05
